Metric,train_loss,train_acc,train_ce_loss,train_kl_loss,train_task_loss,val_loss,val_acc,val_ce_loss,val_kl_loss,val_task_loss,val_ce_loss_t,val_ce_loss_v,val_ce_loss_a,val_kl_loss_t,val_kl_loss_v,val_kl_loss_a,train_ce_loss_t,train_ce_loss_v,train_ce_loss_a,train_kl_loss_t,train_kl_loss_v,train_kl_loss_a,coeff,comb,dataset
199,2.1261,81.51,1.5722,0.0185,0.5354,3.1711,65.29,2.1012,0.0075,1.0624,1.0683,1.0427,1.0487,0.0016,0.0044,0.0037,0.6133,0.8501,0.8309,0.0033,0.011,0.0098,coeff_0p5,"comb_0.50,0.50,1.00,1.00,1.00,0.50",MELD
199,0.4655,98.66,0.2003,0.219,0.0462,3.6553,72.09,1.9491,0.6126,1.0935,1.3698,1.1561,1.3724,0.3407,0.202,0.2403,0.0789,0.2638,0.0579,0.0594,0.1577,0.0316,coeff_0p5,"comb_0.50,0.50,0.50,0.50,1.00,1.00",IEMO
199,1.6964,81.87,1.1488,0.0222,0.5253,2.6557,65.25,1.5811,0.0088,1.0658,1.07,1.0453,1.0469,0.0019,0.0043,0.0036,0.6052,0.8611,0.8314,0.0034,0.0108,0.0097,coeff_0p5,"comb_0.50,0.50,0.50,0.50,1.00,1.00",MELD
199,0.493,99.4,0.3057,0.1653,0.022,4.7697,70.92,2.8277,0.6016,1.3403,1.6301,1.1788,1.6678,0.2096,0.2684,0.5158,0.0669,0.2509,0.0427,0.0362,0.2139,0.0442,coeff_0p5,"comb_0.50,0.50,1.00,1.00,0.50,0.50",IEMO
199,2.121,81.51,1.5728,0.0145,0.5337,3.1756,65.29,2.1015,0.006,1.0681,1.0696,1.0432,1.047,0.0016,0.0047,0.0041,0.613,0.8503,0.832,0.0033,0.0116,0.0106,coeff_0p5,"comb_0.50,0.50,1.00,1.00,0.50,0.50",MELD
199,0.5913,98.92,0.3441,0.206,0.0412,5.0435,70.3,3.4015,0.5068,1.1352,1.5469,1.1813,1.3465,0.3056,0.1626,0.3828,0.0663,0.251,0.0534,0.0589,0.1525,0.0482,coeff_0p5,"comb_1.00,0.50,1.00,0.50,0.50,1.00",IEMO
199,2.4272,81.19,1.8677,0.0169,0.5427,3.7014,65.25,2.6382,0.0068,1.0564,1.074,1.0417,1.0451,0.0016,0.0042,0.0036,0.6008,0.8505,0.8328,0.003,0.0105,0.0098,coeff_0p5,"comb_1.00,0.50,1.00,0.50,0.50,1.00",MELD
199,0.6106,98.61,0.3294,0.2335,0.0478,4.335,71.66,2.5215,0.7147,1.0988,1.3816,1.165,1.3316,0.2275,0.1971,0.2901,0.0841,0.2552,0.0642,0.0431,0.1542,0.0361,coeff_0p5,"comb_0.50,0.50,1.00,1.00,1.00,1.00",IEMO
199,2.1316,81.53,1.5715,0.0226,0.5374,3.1673,65.36,2.1008,0.0091,1.0574,1.0669,1.0435,1.0476,0.0016,0.0041,0.0035,0.6138,0.8494,0.8304,0.0032,0.0102,0.0092,coeff_0p5,"comb_0.50,0.50,1.00,1.00,1.00,1.00",MELD
199,0.5254,99.6,0.3523,0.1585,0.0146,6.9572,71.72,4.9372,0.6077,1.4123,1.8778,1.1536,1.9059,0.4253,0.309,0.481,0.0603,0.2573,0.0347,0.0477,0.2355,0.0339,coeff_0p5,"comb_1.00,1.00,1.00,0.50,0.50,0.50",IEMO
