accuracy,coeff,comb,dataset
0.674712643678161,coeff_1p2,"comb_1.20,1.00,1.00,1.20,1.00,1.20",MELD
0.6754789272030651,coeff_1p2,"comb_1.20,1.20,1.20,1.00,1.20,1.20",MELD
0.674712643678161,coeff_1p2,"comb_1.20,1.00,1.00,1.00,1.20,1.00",MELD
0.674712643678161,coeff_1p2,"comb_1.20,1.20,1.00,1.00,1.20,1.20",MELD
0.674712643678161,coeff_1p2,"comb_1.00,1.20,1.20,1.20,1.20,1.20",MELD
0.6743295019157088,coeff_1p2,"comb_1.20,1.20,1.00,1.00,1.20,1.00",MELD
0.675095785440613,coeff_1p2,"comb_1.20,1.20,1.20,1.20,1.00,1.20",MELD
0.6739463601532567,coeff_1p2,"comb_1.20,1.00,1.00,1.00,1.00,1.00",MELD
0.6743295019157088,coeff_1p2,"comb_1.00,1.20,1.20,1.20,1.20,1.00",MELD
0.6743295019157088,coeff_1p2,"comb_1.20,1.20,1.20,1.20,1.00,1.00",MELD
0.674712643678161,coeff_1p2,"comb_1.20,1.20,1.00,1.20,1.00,1.20",MELD
0.6739463601532567,coeff_1p2,"comb_1.00,1.20,1.20,1.20,1.00,1.00",MELD
0.674712643678161,coeff_1p8,"comb_1.8,1.00,1.8,1.8,1.00,1.00",MELD
0.6743295019157088,coeff_1p8,"comb_1.8,1.8,1.8,1.8,1.00,1.8",MELD
0.6754789272030651,coeff_1p8,"comb_1.00,1.8,1.8,1.8,1.8,1.8",MELD
0.6758620689655173,coeff_1p8,"comb_1.00,1.8,1.8,1.00,1.8,1.00",MELD
0.6754789272030651,coeff_1p8,"comb_1.00,1.8,1.8,1.00,1.00,1.8",MELD
0.675095785440613,coeff_1p8,"comb_1.00,1.00,1.8,1.8,1.8,1.00",MELD
0.674712643678161,coeff_1p8,"comb_1.8,1.00,1.00,1.8,1.00,1.00",MELD
0.6754789272030651,coeff_1p8,"comb_1.00,1.8,1.00,1.00,1.00,1.8",MELD
0.6743295019157088,coeff_1p8,"comb_1.00,1.8,1.00,1.00,1.8,1.8",MELD
0.6743295019157088,coeff_1p8,"comb_1.00,1.8,1.00,1.8,1.00,1.00",MELD
0.675095785440613,coeff_1p8,"comb_1.00,1.8,1.8,1.00,1.00,1.00",MELD
0.674712643678161,coeff_1p8,"comb_1.8,1.8,1.00,1.8,1.00,1.8",MELD
0.675095785440613,coeff_1p8,"comb_1.00,1.00,1.00,1.8,1.8,1.00",MELD
0.6754789272030651,coeff_1p8,"comb_1.8,1.8,1.00,1.00,1.8,1.8",MELD
0.6743295019157088,coeff_1p8,"comb_1.8,1.8,1.00,1.8,1.8,1.00",MELD
0.6754789272030651,coeff_1p8,"comb_1.00,1.8,1.00,1.8,1.00,1.8",MELD
0.675095785440613,coeff_1p8,"comb_1.8,1.8,1.8,1.8,1.8,1.00",MELD
0.675095785440613,coeff_1p8,"comb_1.8,1.00,1.8,1.00,1.00,1.00",MELD
0.6754789272030651,coeff_1p8,"comb_1.00,1.8,1.8,1.8,1.00,1.00",MELD
0.675095785440613,coeff_1p8,"comb_1.8,1.8,1.00,1.8,1.8,1.8",MELD
0.6758620689655173,coeff_1p8,"comb_1.8,1.8,1.8,1.00,1.00,1.00",MELD
0.674712643678161,coeff_1p8,"comb_1.8,1.8,1.8,1.00,1.8,1.8",MELD
0.6739463601532567,coeff_1p8,"comb_1.8,1.00,1.8,1.00,1.8,1.8",MELD
0.674712643678161,coeff_1p8,"comb_1.8,1.00,1.00,1.00,1.00,1.8",MELD
0.675095785440613,coeff_1p8,"comb_1.8,1.8,1.00,1.00,1.00,1.00",MELD
0.6758620689655173,coeff_1p8,"comb_1.00,1.8,1.8,1.8,1.00,1.8",MELD
0.674712643678161,coeff_1p8,"comb_1.00,1.00,1.00,1.00,1.00,1.8",MELD
0.674712643678161,coeff_1p8,"comb_1.8,1.8,1.8,1.00,1.00,1.8",MELD
0.674712643678161,coeff_1p8,"comb_1.00,1.00,1.8,1.00,1.00,1.8",MELD
0.6743295019157088,coeff_1p8,"comb_1.00,1.00,1.8,1.8,1.00,1.8",MELD
0.675095785440613,coeff_1p8,"comb_1.00,1.00,1.00,1.00,1.8,1.00",MELD
0.6743295019157088,coeff_1p8,"comb_1.8,1.00,1.8,1.8,1.00,1.8",MELD
0.6754789272030651,coeff_1p8,"comb_1.00,1.8,1.00,1.00,1.8,1.00",MELD
0.6754789272030651,coeff_1p8,"comb_1.00,1.00,1.8,1.00,1.00,1.00",MELD
0.6739463601532567,coeff_1p8,"comb_1.00,1.00,1.00,1.00,1.8,1.8",MELD
0.6743295019157088,coeff_1p8,"comb_1.8,1.00,1.8,1.00,1.8,1.00",MELD
0.674712643678161,coeff_1p8,"comb_1.8,1.8,1.8,1.00,1.8,1.00",MELD
0.6758620689655173,coeff_1p8,"comb_1.80,1.80,1.80,1.80,1.80,1.80",MELD
0.6758620689655173,coeff_1p8,"comb_1.8,1.8,1.8,1.8,1.00,1.00",MELD
0.675095785440613,coeff_1p8,"comb_1.00,1.8,1.00,1.8,1.8,1.8",MELD
0.675095785440613,coeff_1p8,"comb_1.8,1.8,1.00,1.00,1.00,1.8",MELD
0.6754789272030651,coeff_1p8,"comb_1.00,1.8,1.00,1.8,1.8,1.00",MELD
0.674712643678161,coeff_1p8,"comb_1.8,1.00,1.00,1.8,1.8,1.8",MELD
0.674712643678161,coeff_1p8,"comb_1.8,1.00,1.00,1.00,1.00,1.00",MELD
0.6762452107279694,coeff_1p8,"comb_1.00,1.8,1.8,1.8,1.8,1.00",MELD
0.674712643678161,coeff_1p8,"comb_1.8,1.8,1.00,1.8,1.00,1.00",MELD
0.6743295019157088,coeff_1p8,"comb_1.00,1.8,1.00,1.00,1.00,1.00",MELD
0.6735632183908046,coeff_1p8,"comb_1.00,1.00,1.8,1.00,1.8,1.8",MELD
0.675095785440613,coeff_1p8,"comb_1.00,1.8,1.8,1.00,1.8,1.8",MELD
0.6743295019157088,coeff_1p8,"comb_1.8,1.00,1.8,1.00,1.00,1.8",MELD
0.674712643678161,coeff_1p8,"comb_1.8,1.8,1.00,1.00,1.8,1.00",MELD
0.6743295019157088,coeff_1p8,"comb_1.8,1.00,1.00,1.8,1.00,1.8",MELD
0.6743295019157088,coeff_1p8,"comb_1.8,1.00,1.8,1.8,1.8,1.8",MELD
0.6739463601532567,coeff_1p8,"comb_1.8,1.00,1.00,1.00,1.8,1.00",MELD
0.6735632183908046,coeff_1p8,"comb_1.00,1.00,1.00,1.8,1.00,1.00",MELD
0.6743295019157088,coeff_1p8,"comb_1.8,1.00,1.00,1.8,1.8,1.00",MELD
0.675095785440613,coeff_1p8,"comb_1.00,1.00,1.00,1.8,1.00,1.8",MELD
0.675095785440613,coeff_1p8,"comb_1.00,1.00,1.00,1.8,1.8,1.8",MELD
0.6743295019157088,coeff_1p8,"comb_1.00,1.00,1.8,1.8,1.8,1.8",MELD
