character,center_emotion,position,context_emotion,count,ratio
other,sadness,prev,surprise,0,0.0
other,sadness,next,surprise,0,0.0
other,sadness,prev,fear,0,0.0
other,sadness,next,fear,0,0.0
other,sadness,prev,sadness,1,0.25
other,sadness,next,sadness,2,0.2857142857142857
other,sadness,prev,joy,0,0.0
other,sadness,next,joy,0,0.0
other,sadness,prev,disgust,0,0.0
other,sadness,next,disgust,0,0.0
other,sadness,prev,anger,1,0.25
other,sadness,next,anger,0,0.0
other,joy,prev,neutral,3,0.42857142857142855
other,joy,next,neutral,1,0.2
other,joy,prev,surprise,1,0.14285714285714285
other,joy,next,surprise,1,0.2
other,joy,prev,fear,0,0.0
other,joy,next,fear,0,0.0
other,joy,prev,sadness,0,0.0
other,joy,next,sadness,0,0.0
other,joy,prev,joy,3,0.42857142857142855
other,joy,next,joy,3,0.6
other,joy,prev,disgust,0,0.0
other,joy,next,disgust,0,0.0
other,joy,prev,anger,0,0.0
other,joy,next,anger,0,0.0
other,disgust,prev,neutral,0,0.0
other,disgust,next,neutral,0,0.0
other,disgust,prev,surprise,0,0.0
other,disgust,next,surprise,0,0.0
other,disgust,prev,fear,0,0.0
other,disgust,next,fear,0,0.0
other,disgust,prev,sadness,0,0.0
other,disgust,next,sadness,0,0.0
other,disgust,prev,joy,0,0.0
other,disgust,next,joy,0,0.0
other,disgust,prev,disgust,0,0.0
other,disgust,next,disgust,0,0.0
other,disgust,prev,anger,0,0.0
other,disgust,next,anger,0,0.0
other,anger,prev,neutral,0,0.0
other,anger,next,neutral,3,0.6
other,anger,prev,surprise,2,0.2857142857142857
other,anger,next,surprise,0,0.0
other,anger,prev,fear,0,0.0
